match_number,match_date,team_name,team_game_number,player_name,points
58,2026-05-14,Mumbai Indians,12,C Bosch,43.0
58,2026-05-14,Mumbai Indians,12,DL Chahar,62.0
58,2026-05-14,Mumbai Indians,12,JJ Bumrah,4.0
58,2026-05-14,Mumbai Indians,12,Naman Dhir,15.0
58,2026-05-14,Mumbai Indians,12,RA Bawa,45.0
58,2026-05-14,Mumbai Indians,12,RD Rickelton,74.0
58,2026-05-14,Mumbai Indians,12,RG Sharma,33.0
58,2026-05-14,Mumbai Indians,12,Raghu Sharma,2.0
58,2026-05-14,Mumbai Indians,12,SE Rutherford,27.0
58,2026-05-14,Mumbai Indians,12,SN Thakur,128.0
58,2026-05-14,Mumbai Indians,12,Tilak Varma,111.0
58,2026-05-14,Mumbai Indians,12,WG Jacks,49.0
58,2026-05-14,Punjab Kings,12,Arshdeep Singh,12.0
58,2026-05-14,Punjab Kings,12,Azmatullah Omarzai,112.0
58,2026-05-14,Punjab Kings,12,C Connolly,29.0
58,2026-05-14,Punjab Kings,12,M Jansen,25.0
58,2026-05-14,Punjab Kings,12,P Simran Singh,89.0
58,2026-05-14,Punjab Kings,12,Priyansh Arya,38.0
58,2026-05-14,Punjab Kings,12,SS Iyer,9.0
58,2026-05-14,Punjab Kings,12,Shashank Singh,6.0
58,2026-05-14,Punjab Kings,12,Suryansh Shedge,14.0
58,2026-05-14,Punjab Kings,12,Vishnu Vinod,22.0
58,2026-05-14,Punjab Kings,12,XC Bartlett,28.0
58,2026-05-14,Punjab Kings,12,YS Chahal,37.0
