player_name,team_name,owner_name,owner_status,batting_points,bowling_points,fielding_points,playing_points,total_points
JO Holder,Gujarat Titans,Vamsi,current,72.0,379.0,68.0,32.0,551.0
K Rabada,Gujarat Titans,Sailesh,current,44.0,650.0,32.0,56.0,782.0
Kumar Kushagra,Gujarat Titans,,,21.0,0.0,8.0,4.0,33.0
M Prasidh Krishna,Gujarat Titans,Bhuvan,current,0.0,344.0,30.0,36.0,410.0
M Shahrukh Khan,Gujarat Titans,Nishant,past,52.0,0.0,24.0,36.0,112.0
MJ Suthar,Gujarat Titans,,,0.0,50.0,16.0,16.0,82.0
Mohammed Siraj,Gujarat Titans,Om,current,-2.0,459.0,32.0,56.0,545.0
N Sindhu,Gujarat Titans,,,51.0,0.0,24.0,20.0,95.0
R Sai Kishore,Gujarat Titans,Bhuvan,past,0.0,19.0,0.0,8.0,27.0
R Tewatia,Gujarat Titans,Om,past,115.0,0.0,16.0,52.0,183.0
Rashid Khan,Gujarat Titans,Prabhanjan,current,43.0,547.0,32.0,56.0,678.0
Shubman Gill,Gujarat Titans,Vaibhav,current,839.0,0.0,98.0,52.0,989.0
Washington Sundar,Gujarat Titans,Nishant,current,415.0,31.0,48.0,56.0,550.0
A Raghuvanshi,Kolkata Knight Riders,Om,current,566.0,0.0,58.0,52.0,676.0
AM Rahane,Kolkata Knight Riders,Vaibhav,current,430.0,0.0,64.0,56.0,550.0
AS Roy,Kolkata Knight Riders,,,61.0,229.0,84.0,56.0,430.0
B Muzarabani,Kolkata Knight Riders,Sailesh,current,0.0,102.0,0.0,8.0,110.0
C Green,Kolkata Knight Riders,Om,current,436.0,153.0,64.0,56.0,709.0
CV Varun,Kolkata Knight Riders,Sailesh,current,4.0,287.0,22.0,44.0,357.0
FH Allen,Kolkata Knight Riders,Vamsi,past,494.0,0.0,8.0,44.0,546.0
Kartik Tyagi,Kolkata Knight Riders,Bhuvan,current,12.0,448.0,38.0,56.0,554.0
M Pathirana,Kolkata Knight Riders,Bhuvan,current,0.0,0.0,0.0,4.0,4.0
MK Pandey,Kolkata Knight Riders,,,92.0,0.0,32.0,24.0,148.0
Navdeep Saini,Kolkata Knight Riders,,,0.0,-6.0,0.0,8.0,2.0
R Powell,Kolkata Knight Riders,,,250.0,0.0,48.0,44.0,342.0
RK Singh,Kolkata Knight Riders,Nishant,current,395.0,0.0,98.0,56.0,549.0
Ramandeep Singh,Kolkata Knight Riders,,,98.0,19.0,40.0,32.0,189.0
SP Narine,Kolkata Knight Riders,Bhuvan,current,50.0,489.0,24.0,52.0,615.0
SR Dubey,Kolkata Knight Riders,,,5.0,135.0,0.0,16.0,156.0
T Dahiya,Kolkata Knight Riders,,,14.0,0.0,8.0,8.0,30.0
TL Seifert,Kolkata Knight Riders,,,21.0,0.0,34.0,12.0,67.0
VG Arora,Kolkata Knight Riders,Sailesh,current,1.0,267.0,22.0,44.0,334.0
A Badoni,Lucknow Super Giants,Sailesh,current,288.0,0.0,20.0,40.0,348.0
A Nortje,Lucknow Super Giants,,,-2.0,0.0,0.0,4.0,2.0
AA Kulkarni,Lucknow Super Giants,,,16.0,0.0,0.0,8.0,24.0
AK Markram,Lucknow Super Giants,Sailesh,current,305.0,6.0,64.0,48.0,423.0
Abdul Samad,Lucknow Super Giants,,,152.0,0.0,16.0,32.0,200.0
Akash Singh,Lucknow Super Giants,,,0.0,100.0,8.0,8.0,116.0
Akshat Raghuwanshi,Lucknow Super Giants,,,32.0,0.0,8.0,12.0,52.0
Arjun Tendulkar,Lucknow Super Giants,,,5.0,33.0,8.0,4.0,50.0
Avesh Khan,Lucknow Super Giants,Sailesh,current,7.0,150.0,16.0,28.0,201.0
DS Rathi,Lucknow Super Giants,Prabhanjan,current,2.0,115.0,32.0,40.0,189.0
GF Linde,Lucknow Super Giants,,,41.0,25.0,0.0,12.0,78.0
Himmat Singh,Lucknow Super Giants,,,115.0,0.0,8.0,24.0,147.0
JP Inglis,Lucknow Super Giants,Prabhanjan,current,366.0,0.0,8.0,20.0,394.0
M Siddharth,Lucknow Super Giants,,,0.0,142.0,16.0,16.0,174.0
MD Choudhary,Lucknow Super Giants,,,227.0,0.0,24.0,40.0,291.0
MP Yadav,Lucknow Super Giants,Vamsi,past,6.0,-16.0,0.0,16.0,6.0
MR Marsh,Lucknow Super Giants,Vamsi,current,772.0,0.0,32.0,52.0,856.0
