owner_name,phase1_points_G1_to_G7,phase2_points_G8_to_end,total_points
Bhuvan,3073.0,3297.0,6370.0
Nishant,3474.0,3096.0,6570.0
Om,3193.0,4291.0,7484.0
Prabhanjan,3063.0,4223.0,7286.0
Sailesh,3043.0,2233.0,5276.0
Vaibhav,4457.0,3872.0,8329.0
Vamsi,3445.0,3811.0,7256.0
