player_name,team_name,batting_points,bowling_points,fielding_points,playing_points,total_points
MA Starc,Delhi Capitals,-2.0,283.0,44.0,24.0,349.0
Mukesh Kumar,Delhi Capitals,0.0,138.0,24.0,40.0,202.0
N Rana,Delhi Capitals,308.0,-6.0,36.0,36.0,374.0
P Nissanka,Delhi Capitals,389.0,0.0,16.0,40.0,445.0
PVD Chameera,Delhi Capitals,0.0,0.0,0.0,4.0,4.0
SU Parakh,Delhi Capitals,55.0,0.0,8.0,16.0,79.0
Sameer Rizvi,Delhi Capitals,335.0,0.0,36.0,44.0,415.0
T Natarajan,Delhi Capitals,1.0,103.0,16.0,40.0,160.0
T Stubbs,Delhi Capitals,347.0,0.0,56.0,56.0,459.0
T Vijay,Delhi Capitals,0.0,-6.0,8.0,4.0,6.0
V Nigam,Delhi Capitals,17.0,40.0,0.0,20.0,77.0
Arshad Khan,Gujarat Titans,9.0,133.0,8.0,28.0,178.0
Ashok Sharma,Gujarat Titans,1.0,132.0,8.0,24.0,165.0
B Sai Sudharsan,Gujarat Titans,864.0,0.0,36.0,56.0,956.0
GD Phillips,Gujarat Titans,77.0,0.0,64.0,24.0,165.0
JC Buttler,Gujarat Titans,649.0,0.0,216.0,56.0,921.0
JO Holder,Gujarat Titans,72.0,379.0,68.0,32.0,551.0
K Rabada,Gujarat Titans,44.0,650.0,32.0,56.0,782.0
Kumar Kushagra,Gujarat Titans,21.0,0.0,8.0,4.0,33.0
M Prasidh Krishna,Gujarat Titans,0.0,344.0,30.0,36.0,410.0
M Shahrukh Khan,Gujarat Titans,52.0,0.0,24.0,36.0,112.0
MJ Suthar,Gujarat Titans,0.0,50.0,16.0,16.0,82.0
Mohammed Siraj,Gujarat Titans,-2.0,459.0,32.0,56.0,545.0
N Sindhu,Gujarat Titans,51.0,0.0,24.0,20.0,95.0
R Sai Kishore,Gujarat Titans,0.0,19.0,0.0,8.0,27.0
R Tewatia,Gujarat Titans,115.0,0.0,16.0,52.0,183.0
Rashid Khan,Gujarat Titans,43.0,547.0,32.0,56.0,678.0
Shubman Gill,Gujarat Titans,839.0,0.0,98.0,52.0,989.0
